Testrun,Q_num,Q_part,Resp_num,Resp_part,Q_speaker,Q_text,Q_survey,Resp_speaker,Resp_text,Resp_survey,Resp_json,Resp_stance,Resp_ranking,Q_context
28October2021,2,19,7,26,Audience Member 20211028QT17,"What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?","What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?",Anas Sarwar,"Every single day there are women in our country who have to think twice before they walk down certain streets, who have to look over their shoulder when they're out on a Friday or a Saturday night. Who have to doublecheck their charge in their battery. Who have to think about how they travel to and from places. And so we've got to address that fundamental issue.","Every single day there are women in our country who have to think twice before they walk down certain streets, who have to look over their shoulder when they're out on a Friday or a Saturday night. Who have to doublecheck their charge in their battery. Who have to think about how they travel to and from places. And so we've got to address that fundamental issue.","['32_168690429688380825', '39_168690429688380825', '56_168690429688380825', '67_168690429688380825', '78_168690429688380825']",Same,7,
28October2021,2,19,8,26,Audience Member 20211028QT17,"What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?","What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?",Anas Sarwar,"And for those that think the answer to this is women thinking about how they change their behaviour, I'm sorry, frankly that's wrong. Men need to think about how they change their behaviour because we should not be living in a society where any human being, regardless of their gender or their faith or their sexuality, has to think twice about where they go.","And for those that think the answer to this is women thinking about how they change their behaviour, I'm sorry, frankly that's wrong. Men need to think about how they change their behaviour because we should not be living in a society where any human being, regardless of their gender or their faith or their sexuality, has to think twice about where they go.","['90_168690429688380825', '97_168690429688380825', '104_168690429688380825', '126_168690429688380825', '146_168690429688380825']",Same,8,
28October2021,2,19,9,30,Audience Member 20211028QT19,"What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?","What is being done to protect women with the reported increase of spiking, including by injection, across Scotland the UK?",Andrew Bowie,"This is a culture change, a shift that we need in this country. We need to educate men into the dangers that women face going out, that they shouldn't face. As Anas said, you shouldn't be afraid to go about your business, go on a night out and feel scared to go home or feel scared to ask a policeman for help, or whatever it is. And so we do need a culture shift.","This is a culture change, a shift that we need in this country. We need to educate men into the dangers that women face going out, that they shouldn't face. As Anas said, you shouldn't be afraid to go about your business, go on a night out and feel scared to go home or feel scared to ask a policeman for help, or whatever it is. And so we do need a culture shift. ","['2_168690409445330234', '7_168690409445330234', '12_168690409445330234', '23_168690409445330234']",Same,6,
28October2021,3,31,1,31,Audience Member 20211028QT27,"As COP26 approaches, could you tell us in the situation of an independent Scotland, would you put the economy or environment first when choosing what to do with the domestic oil industry?","As COP26 approaches, could you tell us in the situation of an independent Scotland, would you put the economy or environment first when choosing what to do with the domestic oil industry?",Kate Forbes,"It doesn't need to be exclusive, I don't think. I don't think it's one or the other. One of the great opportunities over the next three weeks, in my humble opinion, are the economic opportunities that come for Scotland as a result of that just transition.","It doesn't need to be exclusive, I don't think. I don't think it's one or the other. One of the great opportunities over the next three weeks, in my humble opinion, are the economic opportunities that come for Scotland as a result of that just transition.","['35_168690433513080822', '46_168690433513080822', '57_168690433513080822']",Same,3,
28October2021,3,31,3,42,Audience Member 20211028QT30,"As COP26 approaches, could you tell us in the situation of an independent Scotland, would you put the economy or environment first when choosing what to do with the domestic oil industry?","As COP26 approaches, could you tell us in the situation of an independent Scotland, would you put the economy or environment first when choosing what to do with the domestic oil industry?",Heather McGregor ,"Well, I think it's very sad that we are focusing on the things that divide us, when actually what we should be focusing on are the things that unite us. And I think every single person in this room would want a better planet and a stronger environment. But in my experience, the way to get that is a strong economy. So it's not an either/or, you have to have one and the other.","Well, I think it's very sad that we are focusing on the things that divide us, when actually what we should be focusing on are the things that unite us. And I think every single person in this room would want a better planet and a stronger environment. But in my experience, the way to get that is a strong economy. So it's not an either/or, you have to have one and the other. ","['2_168690440195780471', '15_168690440195780471', '22_168690440195780471', '29_168690440195780471', '36_168690440195780471', '53_168690440195780471', '60_168690440195780471']",Same,1,
28October2021,3,31,4,43,Audience Member 20211028QT30,"As COP26 approaches, could you tell us in the situation of an independent Scotland, would you put the economy or environment first when choosing what to do with the domestic oil industry?","As COP26 approaches, could you tell us in the situation of an independent Scotland, would you put the economy or environment first when choosing what to do with the domestic oil industry?",Heather McGregor ,"personally, I don't think there is a choice to be made between the environment and the economy because you need a very strong environment to support the economy, and you need a very strong economy to support the environment.","Personally, I don't think there is a choice to be made between the environment and the economy because you need a very strong environment to support the economy, and you need a very strong economy to support the environment.","['32_168690435423625037', '39_168690435423625037', '48_168690435423625037']",Same,2,
28October2021,4,46,1,45,Fiona Bruce,"So the question, Andrew, is, what, if any, further protection should there be in the light of obviously the terrible killing of Sir David Amess?","What, if any, further protection should there be for the politicians in light of the obviously terrible killing of Sir David Amess?",Anas Sarwar,"What do we do about it? One part I think is recognising that of course politics is going to have high emotions and of course there's a place for anger in politics as well. I think the challenge for all of us, though, is not to allow that anger and that emotion to turn into dislike and hatred.","What do we do about it? One part I think is recognising that of course politics is going to have high emotions and of course there's a place for anger in politics as well. I think the challenge for all of us, though, is not to allow that anger and that emotion to turn into dislike and hatred. ","['2_168690448776703205', '7_168690448776703205', '20_168690448776703205', '31_168690448776703205']",Same,5,
28October2021,4,46,2,46,Fiona Bruce,"So the question, Andrew, is, what, if any, further protection should there be in the light of obviously the terrible killing of Sir David Amess?","What, if any, further protection should there be for the politicians in light of the obviously terrible killing of Sir David Amess?",Anas Sarwar,"yes, there's a wider issue about individual protection, and look, we're all family members, our families are concerned, our staff are concerned about their own safety. But I think there's a fundamental issue here about how we do politics, how we protect our democracy, and how we keep that fundamental importance of our democracy of face to face contact and recognising that our politicians are there to serve the people and be accessible to the people, not be separate from the people.","Yes, there's a wider issue about individual protection, and look, we're all family members, our families are concerned, our staff are concerned about their own safety. But I think there's a fundamental issue here about how we do politics, how we protect our democracy, and how we keep that fundamental importance of our democracy of face to face contact and recognising that our politicians are there to serve the people and be accessible to the people, not be separate from the people.","['2_168690445913864403', '7_168690445913864403', '14_168690445913864403', '21_168690445913864403', '28_168690445913864403', '35_168690445913864403', '42_168690445913864403', '49_168690445913864403', '56_168690445913864403']",Same,1,
28October2021,4,46,3,47,Fiona Bruce,"So the question, Andrew, is, what, if any, further protection should there be in the light of obviously the terrible killing of Sir David Amess?","What, if any, further protection should there be for the politicians in light of the obviously terrible killing of Sir David Amess?",Andrew Bowie,"The protection should be there if a member of parliament feels that they require it or that their staff should require it. But we've got to be very careful to balance that with keeping the so very important aspect, almost unique in our democracy, which is the openness and accessibility of elected representatives to their constituents.","The protection should be there if a member of parliament feels that they require it or that their staff should require it. But we've got to be very careful to balance that with keeping the so very important aspect, almost unique in our democracy, which is the openness and accessibility of elected representatives to their constituents. ","['7_168690453576104489', '25_168690453576104489']",Same,3,
28October2021,4,46,4,47,Fiona Bruce,"So the question, Andrew, is, what, if any, further protection should there be in the light of obviously the terrible killing of Sir David Amess?","What, if any, further protection should there be for the politicians in light of the obviously terrible killing of Sir David Amess?",Andrew Bowie,"to answer the original question, if an MP, NSP, or anybody in public service, because it's not just elected representatives, feels unsafe, then, yes, of course the protection should be available to them to allow them to carry out their business representing this country in whatever capacity they are doing it.","To answer the original question, if an MP, NSP, or anybody in public service, because it's not just elected representatives, feels unsafe, then, yes, of course the protection should be available to them to allow them to carry out their business representing this country in whatever capacity they are doing it.",['127_168690453576104489'],Same,2,
28October2021,4,46,5,52,Fiona Bruce,"So the question, Andrew, is, what, if any, further protection should there be in the light of obviously the terrible killing of Sir David Amess?","What, if any, further protection should there be for the politicians in light of the obviously terrible killing of Sir David Amess?",Brian Cox,"I think there's a thing happening at the moment which I think we do have to protect our representatives, because they are our representatives and we need to make sure that they are safe, first and foremost.","I think there's a thing happening at the moment which I think we do have to protect our representatives, because they are our representatives and we need to make sure that they are safe, first and foremost. ","['2_168690447817790495', '7_168690447817790495', '15_168690447817790495', '22_168690447817790495']",Same,4,
16September2021,1,1,1,1,AudienceMember 20210916QT00,Is the cloud of questions currently surrounding Boris Johnson's improper behaviour tittle tattle or a real scandal?,Is the cloud of questions currently surrounding Boris Johnson's improper behaviour tittle tattle or a real scandal?,AudienceMember 20210916QT01,"I think it's a real scandal. I think it's probably the tip of a very large iceberg, and I think he could clearly issue up very quickly if he chose to be transparent and honest, and the fact he is not being suggests he is concealing something more. It's a real shame. It attacks the democratic process. Voters can only vote confidently if they feel certain they are getting honest and reliable information.","I think it's a real scandal. I think it's probably the tip of a very large iceberg, and I think he could clearly issue up very quickly if he chose to be transparent and honest, and the fact he is not being suggests he is concealing something more. It's a real shame. It attacks the democratic process. Voters can only vote confidently if they feel certain they are getting honest and reliable information.","['13_168690551519636033', '24_168690551519636033', '31_168690551519636033', '38_168690551519636033', '53_168690551519636033', '74_168690551519636033', '85_168690551519636033', '96_168690551519636033', '103_168690551519636033']",Same,1,
16September2021,1,1,2,2,AudienceMember 20210916QT00,Is the cloud of questions currently surrounding Boris Johnson's improper behaviour tittle tattle or a real scandal?,Is the cloud of questions currently surrounding Boris Johnson's improper behaviour tittle tattle or a real scandal?,Jon Ashworth,It is a scandal! The reason why these questions are continuing to circulate is because Boris Johnson has failed to provide a full and Frank explanation as to who paid for the lavish upgrade of his Downing Street flat.,It is a scandal! The reason why these questions are continuing to circulate is because Boris Johnson has failed to provide a full and frank explanation as to who paid for the lavish upgrade of his Downing Street flat.,"['8_165764186502882345', '17_165764186502882345', '22_165764186502882345']",Same,2,
16September2021,2,15,1,18,AudienceMember 20210916QT10,"Given that the fire safety bill has now passed through Parliament without any protection for leaseholders, what can be done right now to prevent the financial ruin of people who are facing unaffordable bills?","Given that the fire safety bill has now passed through Parliament without any protection for leaseholders, what can be done right now to prevent the financial ruin of people who are facing unaffordable bills?",Anne-Marie Trevelyan,"I don't for a moment deny this is a big challenge to deal with, and there's a huge amount of work to be done, both in you know, physical change, and working out where those challenges are. I hope you know very much that we will be able to support Natalie and many others in the weeks and months to come.","I don't for a moment deny that this is a big challenge to deal with, and there's a huge amount of work to be done, both in you know, physical change, and working out where those challenges are. I hope you know very much that we will be able to support Natalie and many others in the weeks and months to come.","['63_168690567822189667', '74_168690567822189667', '89_168690567822189667']",Same,4,
16September2021,2,15,2,18,AudienceMember 20210916QT11,"Given that the fire safety bill has now passed through Parliament without any protection for leaseholders, what can be done right now to prevent the financial ruin of people who are facing unaffordable bills?","Given that the fire safety bill has now passed through Parliament without any protection for leaseholders, what can be done right now to prevent the financial ruin of people who are facing unaffordable bills?",Daisy Cooper,The impact of the bill going through for people like Natalie and the hundreds of thousands of leaseholdsers is devastating. I was on the committee last summer I joined the committee that was scrutinising this piece of legislation. I introduced the principle that leaseholders should not have to pay for fire safety defects that are not of their making,The impact of the bill going through for people like Natalie and the hundreds of thousands of leaseholdsers is devastating. I was on the committee last summer. I joined the committee that was scrutinising this piece of legislation. I introduced the principle that leaseholders should not have to pay for fire safety defects that are not of their making.,"['118_168690567822189667', '125_168690567822189667', '132_168690567822189667', '143_168690567822189667']",Same,2,
16September2021,2,15,3,20,AudienceMember 20210916QT12,"Given that the fire safety bill has now passed through Parliament without any protection for leaseholders, what can be done right now to prevent the financial ruin of people who are facing unaffordable bills?","Given that the fire safety bill has now passed through Parliament without any protection for leaseholders, what can be done right now to prevent the financial ruin of people who are facing unaffordable bills?",Tim Stanley,"What the Government has thus far offered has been a mixture of grants and loans and some of them preceding very slowly isn't enough to meet that. The Government has, I'm afraid I agree in the first instance it's gots to cough up the cash, as the Lib Dems say it then needs to claw it back from the private contractors who in most cases are the people responsible for this scandal.","What the Government has thus far offered has been a mixture of grants and loans and some of them preceding very slowly isn't enough to meet that. The Government has, I'm afraid I agree in the first instance it's gots to cough up the cash, as the Lib Dems say it then needs to claw it back from the private contractors who in most cases are the people responsible for this scandal.","['93_168690569760472092', '214_168690569760472092', '221_168690569760472092', '229_168690569760472092', '239_168690569760472092', '250_168690569760472092', '269_168690569760472092']",Same,3,
16September2021,2,15,4,24,AudienceMember 20210916QT14,"Given that the fire safety bill has now passed through Parliament without any protection for leaseholders, what can be done right now to prevent the financial ruin of people who are facing unaffordable bills?","Given that the fire safety bill has now passed through Parliament without any protection for leaseholders, what can be done right now to prevent the financial ruin of people who are facing unaffordable bills?",Jon Ashworth,"The bill that has gone through Parliament has clearly been a hugely-missed opportunity. It's simply not fair for leaseholders through no fault of their own to be facing not only this great expense, but the ongoing fear of what might happen to them and their children, and their families should something horrific go wrong. This clearly needs fixing as soon as possible.","The bill that has gone through Parliament has clearly been a hugely-missed opportunity. It's simply not fair for leaseholders through no fault of their own to be facing not only this great expense, but the ongoing fear of what might happen to them and their children, and their families should something horrific go wrong. This clearly needs fixing as soon as possible.","['14_168690573658567310', '28_168690573658567310', '35_168690573658567310', '46_168690573658567310']",Same,1,
16September2021,3,25,1,25,AudienceMember 20210916QT17,"With Covid cases and deaths in India continuing to increase, is the British Government doing enough to support India?","With Covid cases and deaths in India continuing to increase, is the British Government doing enough to support India?",Daisy Cooper,No. I don't think the UK Government is doing enough to support India. I know the UK Government has sent medical supplies but we absolutely vitally need the Government to do is to send vaccines. ,No. I don't think the UK Government is doing enough to support India. I know the UK Government has sent medical supplies but we absolutely vitally need the Government to do is to send vaccines. ,"['71_168690574616283021', '82_168690574616283021', '89_168690574616283021']",Same,1,
16September2021,3,25,2,27,AudienceMember 20210916QT18,"With Covid cases and deaths in India continuing to increase, is the British Government doing enough to support India?","With Covid cases and deaths in India continuing to increase, is the British Government doing enough to support India?",Danny Sriskandarajah,"This is not a wave, this is a tsunami, and many experts said it was a question of when not ""if"" we would see these impacts. We have seen it in Brazil, and South Africa and now in India. There's a debate about excess stock. We believe the real answer lies in not fighting about the pieces of the vaccine pie, but making the pie bigger! ","This is not a wave, this is a tsunami, and many experts said it was a question of when not ""if"" we would see these impacts. We have seen it in Brazil, and South Africa and now in India. There's a debate about excess stock. We believe the real answer lies in not fighting about the pieces of the vaccine pie, but making the pie bigger! ","['45_168690576523895807', '56_168690576523895807', '73_168690576523895807', '84_168690576523895807', '91_168690576523895807', '102_168690576523895807']",Same,2,
16September2021,4,39,1,40,AudienceMember 20210916QT23,Can there be any justification for the continued incarceration of people in care homes?,Can there be any justification for the continued incarceration of people in care homes?,Danny Sriskandarajah,"Look, I feel for you, and my uncle is in ICU at the moment and the only time we can see him is when the nurse takes a FaceTime Zoom call that we have with him. This is awful. But I think, I generally trust our carers, our health system to try to judge that you know, the clinical needs and the risks with the patient care, and the family interests.","Look, I feel for you, and my uncle is in ICU at the moment and the only time we can see him is when the nurse takes a FaceTime Zoom call that we have with him. This is awful. But I think, I generally trust our carers, our health system to try to judge that you know, the clinical needs and the risks with the patient care, and the family interests.","['2_168690588971508863', '7_168690588971508863', '12_168690588971508863', '29_168690588971508863']",Different,1,"My late father's partner, a lady in her 80s is in a care home with Alzheimer's, and her daughter is allowed to visit her once a week for half an hour indoors, and no more. She's not allowed to go outside with her. She's not allowed to see her at any other time, and the care home says, oh well it's just too difficult to do, but I can't see why it should be so difficult to allow a daughter to come in, and this is you know, with testing, and with full PPE, and at no risk to the residents who are all being vaccinated. If this person was in prison, she would probably have more rights to have visitors than she does now."
16September2021,4,39,2,40,AudienceMember 20210916QT24,Can there be any justification for the continued incarceration of people in care homes?,Can there be any justification for the continued incarceration of people in care homes?,Tim Stanley,"I think we have to listen to people who are in care, and ask them precisely what it is they want. There's a balance to be struck between protecting people against the danger of the virus, but also between avoiding making people's lives so miserable trapping them indoors all day denying them contact with people that their life becomes not worth living. ","I think we have to listen to people who are in care, and ask them precisely what it is they want. There's a balance to be struck between protecting people against the danger of the virus, but also between avoiding making people's lives so miserable trapping them indoors all day denying them contact with people that their life becomes not worth living. ","['63_168690588971508863', '68_168690588971508863']",Same,1,
16September2021,4,39,3,41,AudienceMember 20210916QT25,Can there be any justification for the continued incarceration of people in care homes?,Can there be any justification for the continued incarceration of people in care homes?,Daisy Cooper,"This is heartbreaking and just before Christmas there was lots of evidence coming out about how the lockdown on care homes, under the first wave, carers had been going in and out and waves of Covid but a number of people actually died some pretty traumatic, and distressing deaths because there wasn't enough support. What a lot of people don't realise is that family carers are carers, not just visitors, they do a huge amount of the care in the care home.","This is heartbreaking and just before Christmas there was lots of evidence coming out about how the lockdown on care homes, under the first wave, carers had been going in and out and waves of Covid but a number of people actually died some pretty traumatic, and distressing deaths because there wasn't enough support. What a lot of people don't realise is that family carers are carers, not just visitors, they do a huge amount of the care in the care home.","['113_168690589926874820', '120_168690589926874820', '135_168690589926874820', '142_168690589926874820', '153_168690589926874820', '160_168690589926874820', '167_168690589926874820']",Same,2,
16September2021,4,39,4,44,AudienceMember 20210916QT26,Can there be any justification for the continued incarceration of people in care homes?,Can there be any justification for the continued incarceration of people in care homes?,Anne-Marie Trevelyan," We have to trust the health professionals. Different care homes are slightly more or less you know, willing to change the rules, rules are not the same in every care home. They run to their own frameworks.","We have to trust the health professionals. Different care homes are slightly more or less you know, willing to change the rules, rules are not the same in every care home. They run to their own frameworks.","['57_168690592791639454', '64_168690592791639454', '71_168690592791639454', '83_168690592791639454']",Different,2,
16September2021,4,39,5,45,AudienceMember 20210916QT27,Can there be any justification for the continued incarceration of people in care homes?,Can there be any justification for the continued incarceration of people in care homes?,Jon Ashworth,"For somebody to be in Social Care, of course they need to be protected and not exposed to virus, and of course, staff have to have proper PPE, and of course, loved-ones have to be tested and so on. But to not allow a resident to see their loved-ones more than once a week, or whatever the particular procedure is in that care home I just think is scandalous","For somebody to be in Social Care, of course they need to be protected and not exposed to virus, and of course, staff have to have proper PPE, and of course, loved-ones have to be tested and so on. But to not allow a resident to see their loved-ones more than once a week, or whatever the particular procedure is in that care home I just think is scandalous.","['7_165764232467164061', '14_165764232467164061', '25_165764232467164061', '43_165764232467164061']",Same,4,
16September2021,4,39,6,47,AudienceMember 20210916QT28,Can there be any justification for the continued incarceration of people in care homes?,Can there be any justification for the continued incarceration of people in care homes?,AudienceMember 20210916QT24,"I think my friend would rather be in prison. She believes that she has been put in prison! And I think it is terrible to think that in her late years, when she is probably not going to live for much longer she doesn't have the comfort of her family around her and just half an hour once a week with one person who has been tested and putting her at no risk whatsoever.","I think my friend would rather be in prison. She believes that she has been put in prison! And I think it is terrible to think that in her late years, when she is probably not going to live for much longer she doesn't have the comfort of her family around her and just half an hour once a week with one person who has been tested and putting her at no risk whatsoever.","['7_168690595673828732', '12_168690595673828732', '32_168690595673828732', '58_168690595673828732']",Same,3,
2September2021,1,1,1,2,AudienceMember 20210902QT08,We had an entry strategy to fight the war in Afghanistan. Why have we failed on the exit strategy?,We had an entry strategy to fight the war in Afghanistan. Why have we failed on the exit strategy?,James Cleverly,"To implement democracy, and that has proven to be a much, much harder proposition. The British position had always been that we wanted to have an exit based on certain criteria, certain conditions that had been met.","To implement democracy, and that has proven to be a much, much harder proposition. The British position had always been that we wanted to have an exit based on certain criteria, certain conditions that had been met.","['8_168690597652517887', '19_168690597652517887']",Same,5,
